,Time [s],WM_Position [m],WP_1 [m],WP_2 [m],WP_3 [m],WP_4 [m],WP_6 [m]
0,0.0,3.0202148693092568e-05,-3.871874980632128e-05,-1.5603385008944315e-05,-3.534374960167952e-05,-2.2180469429144974e-05,-3.741718572314312e-05
1,0.0050000002374872,3.010312525475456e-05,-1.2691145769849754e-05,1.0911458048212808e-06,-4.3570312008966994e-05,-6.272005400376202e-05,-4.203359175392052e-05
2,0.0100000004749745,3.000410181641655e-05,1.7208333247253904e-05,-3.7098957363923546e-06,-6.560937426058899e-05,-8.996797150473412e-05,-3.919895647186422e-05
3,0.0150000007124617,3.0301172131430576e-05,1.4304427011779808e-05,4.801041541213635e-06,-7.302343667703326e-05,-8.838958603973879e-05,-3.5230467076985406e-05
4,0.020000000949949,3.05982424464446e-05,5.054947891380834e-06,7.528906053266837e-06,-8.480468654425977e-05,-7.7507033623192e-05,-3.73361961436558e-05
5,0.0250000011874362,3.079628932312062e-05,1.355156243221245e-05,-2.073177029160433e-06,-8.80546865076326e-05,-7.169192927847234e-05,-3.9927862687250126e-05
6,0.0300000014249235,3.069726588478261e-05,1.075520827953369e-05,8.838281019052374e-06,-7.241406168390085e-05,-8.016536703792099e-05,-3.587838371288399e-05
7,0.0350000016624107,3.0499219008106596e-05,-3.5492187322461177e-06,2.1822916096425613e-07,-6.946874921709423e-05,-7.634401275424807e-05,-2.4782811323120768e-05
8,0.040000001899898,3.0400195569768584e-05,-6.453124967720214e-06,1.1675260111587704e-05,-4.4789061995231805e-05,-3.738281364462637e-05,-1.6440884635926523e-05
9,0.0450000021373853,3.0301172131430576e-05,1.1292968693510376e-05,2.618749931571074e-06,-3.747656207764294e-05,-1.6614583842056166e-07,-1.8303644964134943e-05
10,0.0500000023748725,3.0499219008106596e-05,2.398411446336013e-05,1.6039843330872827e-05,-7.515624915299668e-06,6.645833536822465e-06,-1.781770748721101e-05
11,0.0550000026123598,3.05982424464446e-05,2.0757551979500025e-05,1.1238801789659192e-05,2.7421874690958248e-06,1.0882552416546789e-05,-1.141953070771251e-05
12,0.060000002849847,3.05982424464446e-05,1.5057291591347166e-05,1.4075780882194522e-05,2.1328124759634196e-05,1.5036198377060828e-05,-2.9966144410309425e-06
13,0.0650000030873343,3.0400195569768584e-05,5.592708305357519e-06,2.7605988861978403e-05,4.092968703872657e-05,5.590807462851899e-05,2.105729066670392e-06
14,0.0700000033248215,3.0202148693092568e-05,1.5057291591347166e-06,1.3093749657855367e-05,5.433593688763949e-05,8.647890889790233e-05,4.859374769239366e-07
15,0.0750000035623088,3.0202148693092568e-05,1.0970312445124364e-05,1.0147655984837913e-05,6.936718671823883e-05,8.024843995713127e-05,-1.781770748721101e-06
16,0.0800000037997961,3.0202148693092568e-05,6.23802080212954e-06,-3.819010316874483e-06,6.987499921251583e-05,9.545078417261266e-05,-1.6197915897464554e-07
17,0.0850000040372833,3.000410181641655e-05,-6.022916636538866e-06,9.05651018001663e-06,8.978124898817441e-05,0.0001089916700038,2.9966144410309425e-06
18,0.0900000042747706,3.000410181641655e-05,-2.5059635291313494e-05,8.074478955677478e-06,8.328124906142875e-05,0.0001142252639141,2.91562486154362e-06
19,0.0950000045122578,3.0202148693092568e-05,-1.957447906875132e-05,1.2657291335926857e-05,8.338281156028415e-05,9.852448218339303e-05,-7.127082994884404e-06
20,0.1000000047497451,3.0301172131430576e-05,-7.743749961264257e-06,5.12838528266002e-06,6.215624929950536e-05,6.28031269229723e-05,-2.138124898465321e-05
21,0.1050000049872323,3.0400195569768584e-05,7.421093712878246e-06,8.51093727760599e-06,5.199999941396527e-05,4.269948047408434e-05,-2.429687384619683e-05
22,0.1100000052247196,3.010312525475456e-05,1.839140615800261e-05,1.1129687209177064e-05,4.011718704788336e-05,3.5056771906738504e-05,-2.251510309747573e-05
23,0.1150000054622069,2.980605493974053e-05,3.602994773643786e-05,-2.83697909253533e-06,1.1578124869515705e-05,6.49630228224396e-05,-2.6402602912867223e-05
24,0.1200000056996941,2.960800806306452e-05,4.915130183746896e-05,3.6007811559102265e-06,-2.8437499679512257e-06,5.707109549746292e-05,-3.0857029784669976e-05
25,0.1250000059371814,2.9905078378078546e-05,5.506666639121249e-05,-3.928124897356611e-06,-3.666406208679973e-05,1.6116146326794478e-05,-2.8751300717999584e-05
26,0.1300000061746686,3.000410181641655e-05,3.5277083156870503e-05,1.5494270428462187e-05,-4.306249951468999e-05,-6.14739602156078e-06,-2.421588426670951e-05
27,0.1350000064121559,3.000410181641655e-05,4.51718747740415e-06,7.96536437519535e-06,-6.428906177546878e-05,-1.8857552660733745e-05,-2.6726561230816515e-05
28,0.1400000066496431,3.0202148693092568e-05,-2.742578111281091e-05,2.2477603579318384e-05,-6.774218673655241e-05,-2.64171883088693e-05,-2.948020693338549e-05
29,0.1450000068871304,3.0301172131430576e-05,-2.774843736119692e-05,1.0911458048212808e-05,-7.73906241278155e-05,-4.901302233406568e-05,-2.6159634174405252e-05
30,0.1500000071246177,3.0202148693092568e-05,-1.7100781164458567e-05,-1.7458332877140492e-06,-8.338281156028415e-05,-7.634401275424807e-05,-1.7331770010287073e-05
31,0.1550000073621049,3.000410181641655e-05,-1.355156243221245e-05,-2.946093673017458e-06,-8.307812406371795e-05,-9.35401070307762e-05,-8.341926687194245e-06
32,0.1600000075995922,2.980605493974053e-05,-7.421093712878246e-06,-1.5712499589426443e-05,-8.764843651221099e-05,-7.210729387452375e-05,-4.778385189752044e-06
