,Time [s],WM_Position [m],WP_1 [m],WP_2 [m],WP_3 [m],WP_4 [m],WP_6 [m]
0,0.0,-6.7335938069845724e-06,8.83002599749716e-05,0.0001057320284871,-0.0001011562488599,-4.5440886808023606e-05,5.037551844111477e-05
1,0.0050000002374872,-6.634570368646564e-06,8.496614540831615e-05,9.52570287608978e-05,-0.0001019687488508,-7.210729387452375e-05,4.972760180521618e-05
2,0.0100000004749745,-6.634570368646564e-06,8.53963537394975e-05,0.0001150067678281,-8.368749905685036e-05,-3.804739699830861e-05,4.632603946674863e-05
3,0.0150000007124617,-6.634570368646564e-06,7.905078085457262e-05,0.0001126062470575,-8.114843658546533e-05,9.387239870761732e-06,4.114270637955997e-05
4,0.020000000949949,-6.7335938069845724e-06,6.958619756858297e-05,0.000140103121339,-5.3726561894507086e-05,3.7216667806205805e-05,4.243853965135713e-05
5,0.0250000011874362,-6.337500053632539e-06,5.754036429550524e-05,0.0001335562465101,-4.4789061995231805e-05,3.6053646937261874e-05,4.349140418469233e-05
6,0.0300000014249235,-6.139453176956522e-06,5.614218721916586e-05,0.0001350838506368,-1.645312481457495e-05,9.968750305233698e-06,4.235755007186981e-05
7,0.0350000016624107,-6.23847661529453e-06,6.786536424385758e-05,0.0001255908821349,-1.0867187377527898e-05,3.214921973437868e-05,4.203359175392052e-05
8,0.040000001899898,-6.0404297386185135e-06,9.077395787926434e-05,0.0001155523407305,7.007812421022663e-06,5.948021015456106e-05,4.081874806161068e-05
9,0.0450000021373853,-6.0404297386185135e-06,0.0001022820307383,0.0001126062470575,2.671093719897044e-05,8.232526293738829e-05,4.073775848212336e-05
10,0.0500000023748725,-6.0404297386185135e-06,9.141927037603637e-05,9.176536218546973e-05,3.34140621234269e-05,8.190989834133688e-05,4.187161259494587e-05
11,0.0550000026123598,-6.139453176956522e-06,7.001640589976432e-05,9.001952889775566e-05,4.864843695173704e-05,6.180625189244893e-05,3.814609193852903e-05
12,0.060000002849847,-6.23847661529453e-06,6.883333298901562e-05,7.507083137170412e-05,4.011718704788336e-05,7.916849200739762e-05,3.4015623384675564e-05
13,0.0650000030873343,-6.436523491970547e-06,7.238255172126173e-05,8.958307057582715e-05,5.281249940480848e-05,9.054948193920608e-05,2.794140492312636e-05
14,0.0700000033248215,-6.832617245322581e-06,7.679218711587055e-05,9.689374746812972e-05,4.803906195860464e-05,8.31559921294911e-05,2.27580718359377e-05
15,0.0750000035623088,-6.832617245322581e-06,9.841015575773326e-05,0.000109332809643,5.9312499331554136e-05,4.9428386930117085e-05,1.99234365538814e-05
16,0.0800000037997961,-6.535546930308556e-06,0.0001072294265469,0.0001060593722286,4.194531202728058e-05,2.018671936809824e-05,1.5630988841053295e-05
17,0.0850000040372833,-6.634570368646564e-06,9.668932243300787e-05,0.0001067140597115,2.7117187194392045e-05,1.0384114901285102e-05,1.7655728328236364e-05
18,0.0900000042747706,-7.030664121998598e-06,9.109661412765035e-05,9.7111976629094e-05,6.60156242560106e-06,2.558645911676649e-05,2.6240623753892575e-05
19,0.0950000045122578,-7.030664121998598e-06,7.92658850201633e-05,8.205416452256031e-05,-2.325781223788681e-05,2.2014323590724416e-05,3.660728992826989e-05
20,0.1000000047497451,-6.931640683660589e-06,7.055416631374101e-05,9.776666411198676e-05,-3.219531213716209e-05,-1.6614583842056163e-05,4.454426871802752e-05
21,0.1050000049872323,-6.436523491970547e-06,6.399348926322546e-05,9.362031005366588e-05,-5.55546868739043e-05,-5.997864766982275e-05,4.559713325136272e-05
22,0.1100000052247196,-6.0404297386185135e-06,5.33458330664871e-05,0.000112715361638,-5.778906184872312e-05,-7.767317946161256e-05,4.632603946674863e-05
23,0.1150000054622069,-5.941406300280505e-06,5.764791637830058e-05,0.0001020221327507,-8.013281159691132e-05,-6.164010605402837e-05,4.988958096419083e-05
24,0.1200000056996941,-6.0404297386185135e-06,5.495911430841716e-05,0.0001116242158332,-8.693749902022319e-05,-5.216979326405635e-05,4.899869558983028e-05
25,0.1250000059371814,-6.23847661529453e-06,4.936640600305964e-05,0.0001091145804821,-0.0001068437487958,-8.539896094816868e-05,4.389635208212894e-05
26,0.1300000061746686,-6.634570368646564e-06,4.334348936652077e-05,0.0001043135389409,-0.0001180156236699,-0.0001083270866502,3.498749833852344e-05
27,0.1350000064121559,-6.832617245322581e-06,4.398880186329279e-05,0.0001133700491209,-0.0001160859361917,-8.290677337186025e-05,2.729348828722777e-05
28,0.1400000066496431,-6.832617245322581e-06,5.076458307939902e-05,0.0001051864555847,-0.0001208593736379,-4.2201042958822654e-05,2.4053905107734863e-05
29,0.1450000068871304,-6.7335938069845724e-06,5.3668489314873113e-05,0.0001208989551741,-0.0001007499988645,-2.4257292409402e-05,2.3891925948760218e-05
30,0.1500000071246177,-6.634570368646564e-06,4.4203906028883466e-05,0.0001011492161069,-0.000106031248805,-2.940781340043941e-05,2.138124898465321e-05
31,0.1550000073621049,-6.7335938069845724e-06,4.743046851274357e-05,0.0001044226535213,-8.460156154654896e-05,-1.8608333903102903e-05,2.372994678978557e-05
32,0.1600000075995922,-6.7335938069845724e-06,6.388593718043012e-05,9.536614334137994e-05,-8.236718657173014e-05,1.221171912391128e-05,2.891327987697423e-05
33,0.1650000078370794,-6.7335938069845724e-06,6.356328093204411e-05,0.0001055137993262,-5.849999934071093e-05,2.824479253149548e-05,3.7012237825706507e-05
34,0.1700000080745667,-6.7335938069845724e-06,6.313307260086276e-05,0.0001202442676913,-4.174218702956978e-05,1.8857552660733745e-05,4.454426871802752e-05
