,Time [s],WM_Position [m],WP_1 [m],WP_2 [m],WP_3 [m],WP_4 [m],WP_6 [m],Fx [N],Fy [N],Fz [N],Mx [Nm],My [Nm],Mz [Nm]
0,0.0,-4.35703128687237e-06,-2.495208320851816e-05,1.8549478681961773e-05,2.7320312192102847e-05,3.3229167684112326e-05,-1.8546613702596915e-05,-0.2699381696677482,0.1663018768488882,-0.1865461479072905,0.0296497294963023,0.0713130841261681,0.0050390833893561
1,0.0050000002374872,-4.8521484785624125e-06,-2.850130194076428e-05,1.2657291335926857e-05,-3.2499999633728294e-06,4.984375152616849e-07,-2.1867186461577148e-05,-0.2554353778398445,0.1125675012514875,-0.1722257519147478,0.01984260438727,0.0649861257224938,0.0031096875345724
2,0.0100000004749745,-5.248242231914446e-06,-2.7963541526787598e-05,1.6912759974729852e-05,-1.11718748740941e-05,-3.472448022989738e-05,-2.4782811323120768e-05,-0.2117275231872486,0.070282792448047,-0.063277542370165,0.0172542710251605,0.0560593756232492,0.0025192291946746
3,0.0150000007124617,-5.347265670252455e-06,-2.4091666546155462e-05,-1.1784374692069832e-05,-4.4890624494087206e-05,-5.607422046693955e-05,-2.7374477866715097e-05,-0.1322012723031025,0.0369713962443688,0.0766044591849959,0.0128040209756841,0.0417971254646863,0.0034746458719632
4,0.020000000949949,-5.347265670252455e-06,-1.6455468667686546e-05,-5.783072765552788e-06,-4.9359374443724846e-05,-6.944896045979476e-05,-2.9318227774410843e-05,-0.0572953339703235,-0.009767916775263,0.1228986680330126,-0.0005578125062015,0.0155211668392257,0.000191979168801
5,0.0250000011874362,-5.050195355238429e-06,-1.7208333247253904e-06,-1.5494270428462187e-05,-7.342968667245486e-05,-9.237708616183228e-05,-2.834635282056297e-05,0.0074024167489642,-0.0868690634657809,0.0126672918074973,-0.0238902294322701,-0.014530458494878,-0.0073260625814486
6,0.0300000014249235,-4.654101601886396e-06,7.95885412685493e-06,-8.292708116641734e-06,-7.424218666329807e-05,-0.0001174651077633,-2.429687384619683e-05,0.0732596049811422,-0.1653924601721109,-0.0371333129128356,-0.0484205005383228,-0.0347562920530754,-0.0063431459038542
7,0.0350000016624107,-4.555078163548387e-06,6.883333298901562e-06,-2.2914061901246896e-06,-7.992968659920052e-05,-0.0001211203162085,-2.1138280246191243e-05,0.1439980641009219,-0.2082642731487453,0.0378037920869564,-0.0622994381926241,-0.0429633338109852,0.0015825208509272
8,0.040000001899898,-4.555078163548387e-06,4.194531229018139e-06,-3.928124897356611e-06,-7.992968659920052e-05,-9.7029169637608e-05,-1.8303644964134943e-05,0.1988864813778195,-0.2086237731527421,0.1935702104853817,-0.0586701464856082,-0.0476015630292181,0.0083300625926108
9,0.0450000021373853,-4.654101601886396e-06,3.334114566655444e-06,1.025677056532004e-05,-6.388281178004718e-05,-5.516041835562646e-05,-1.3687238933357548e-05,0.2344558359399343,-0.1711758977364093,0.3526628372541199,-0.0416670629632403,-0.0523022505814788,0.0054063125601055
10,0.0500000023748725,-4.753125040224404e-06,-7.528645795673583e-07,-2.727864512053202e-06,-6.378124928119178e-05,-5.24190120216872e-05,-8.1799475282196e-06,0.2554234820063789,-0.0976910427527627,0.3882593168165363,-0.0229370002550058,-0.0567021047970615,-0.0033043125367362
11,0.0550000026123598,-4.654101601886396e-06,2.366145821497412e-06,1.3857551721230266e-05,-3.686718708451053e-05,-5.516041835562646e-05,-1.862760328208424e-06,0.2709759821792864,-0.0223066460813311,0.2680345238132509,-0.0078134167535336,-0.0602670006700282,-0.0147078126635165
12,0.060000002849847,-4.456054725210379e-06,9.464583285989647e-06,2.1822916096425613e-07,-3.34140621234269e-05,-3.048776135017306e-05,3.0776040205182653e-06,0.2773586072502462,0.0389238545994089,0.1465389807958377,0.0030340625337316,-0.064472667383452,-0.019152166879594
13,0.0650000030873343,-4.258007848534362e-06,1.075520827953369e-07,7.419791472784709e-06,1.0156249885540093e-07,9.054948193920607e-06,5.5072914051379485e-06,0.2420758985246516,0.0836412925965624,0.1324204598055394,0.0126850834743618,-0.0639492715442997,-0.0133597501485292
14,0.0700000033248215,-4.258007848534362e-06,-4.194531229018139e-06,-1.309374965785537e-06,1.2796874855780516e-05,5.0508334879850736e-05,9.475780800016764e-06,0.1885466270961979,0.1193177721598681,0.1178825221439115,0.0259378752883685,-0.0565265006284425,0.0007358541748476
15,0.0750000035623088,-4.951171916900421e-06,-3.334114566655444e-06,-7.856249794713221e-06,3.899999956047395e-05,5.0508334879850736e-05,1.1176561969250542e-05,0.115515709617598,0.1544128767167103,0.0724380008053413,0.0420914379679584,-0.0432668129810258,0.0146372293293984
16,0.0800000037997961,-5.347265670252455e-06,-1.183072910748706e-06,2.2914061901246896e-06,5.728124935444612e-05,2.9075521723598285e-05,1.1824478605149125e-05,0.0201544168907366,0.1783965019833522,0.0256733544520943,0.0509986464003191,-0.0236415835961724,0.0206272085626596
17,0.0850000040372833,-5.149218793576438e-06,2.151041655906738e-06,-5.455729024106404e-07,6.875781172510642e-05,5.0342189041430174e-05,1.0609634912839285e-05,-0.0811231675685667,0.1927978771434618,0.0695318132730312,0.0466483755186209,0.0044213125491546,0.0161981460134188
18,0.0900000042747706,-4.555078163548387e-06,1.075520827953369e-07,1.0693228887248551e-05,8.744531151450019e-05,7.410104393557049e-05,4.454426871802752e-06,-0.1585365017625553,0.1811726895142169,0.1592643559373141,0.0377996045869099,0.0350486670563259,0.0065519167395086
