Time [s],WM_Position,WP_1 [m],WP_2 [m],WP_3 [m],WP_4 [m],WP_6 [m],Sway [m],Heave [m],Roll [rad],Tension_SB [N],Tension_PS [N],Force_Sway [N],ACC_Heave_SB [m/s2],ACC_HEAVE_PS [m/s2],ACC_SWAY [m/s2]
0.0,3.1687500268162694e-06,4.31283852009301e-05,-1.080234346773068e-05,-8.155468658088694e-05,-7.900234616897706e-05,-4.0494789743661386e-07,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.00186096096877,0.0054302217904478,0.0031258647795766,-0.0006885937273182,-0.0005209791961533,-0.0002607552250992
0.0050000002374872,2.9707031501402525e-06,3.549218732246118e-05,-5.346614443624276e-06,-7.424218666329807e-05,-8.298984629107053e-05,2.3486978051323604e-06,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0049625625833868,0.0054302217904478,0.0031258647795766,-0.000367249987903,-0.0001991979279409,0.000291432310405
0.0100000004749745,2.9707031501402525e-06,3.5169531074075167e-05,-3.284348872512055e-05,-9.221874896070403e-05,-7.999922119950043e-05,5.5072914051379485e-06,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0062032032292336,-0.0005430221790447,0.0031258647795766,-0.0002907395737565,-0.0001072604227374,0.0003221093957108
0.0150000007124617,2.9707031501402525e-06,2.774843736119692e-05,-2.6951301379085635e-05,-7.972656160148972e-05,-7.96669295226593e-05,5.993228882061885e-06,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0062032032292336,-0.0054302217904478,0.0035165978770237,-0.0004131562363909,-0.0002758125156105,-0.0001073697985702
0.020000000949949,2.574609396788219e-06,2.183307280745339e-05,-2.127734319401497e-05,-7.556249914841828e-05,-7.169192927847234e-05,5.5072914051379485e-06,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0074438438750803,-0.0043441774323582,0.0042980640719179,-1.5302082829293795e-05,-0.0001225833402713,-6.135417061159387e-05
0.0250000011874362,2.376562520112202e-06,2.7855989443992257e-05,-2.149557235497923e-05,-6.347656178462557e-05,-7.135963760163122e-05,4.859374769239366e-06,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.008684484520927,-0.0016290665371343,0.0046887971693649,0.0006885937273182,0.0007355000416282,0.000444817736934
0.0300000014249235,2.4755859584502105e-06,4.409635394608813e-05,-1.9095051584372413e-05,-4.38749995055332e-05,-4.909609525327596e-05,1.166249944617448e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0049625625833868,0.0005430221790447,0.0042980640719179,0.0007804062242939,0.0010419583923066,0.0003067708530579
0.0350000016624107,2.574609396788219e-06,4.484921852565549e-05,-2.9242707569210324e-05,-3.564843709824572e-05,-1.99375006104674e-06,2.211015520003912e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.00186096096877,0.0016290665371343,0.0023443985846824,0.0003519479050737,0.0005056562786194,-0.0003988021089753
0.040000001899898,2.574609396788219e-06,4.4203906028883466e-05,-1.24390621749626e-05,-5.078124942770046e-07,2.5835677874397334e-05,3.045208188723336e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0031016016146168,0.0032581330742686,-0.000390733097447,0.0003978541535616,0.0005516250312211,-0.0004908333648927
0.0450000021373853,2.4755859584502105e-06,4.1084895627818696e-05,-2.3023176481729024e-05,5.382812439336249e-06,2.400807365177116e-05,3.393463380518824e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0062032032292336,0.0038011552533134,-0.0015629323897883,0.000994635383904,0.0010726042273745,-1.5338542652898468e-05
0.0500000023748725,2.376562520112202e-06,2.8608854023559616e-05,-1.2548176755444729e-05,3.676562458565513e-05,1.437161502337858e-05,3.45015608615995e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0093048048438504,0.0010860443580895,-0.0019536654872354,0.0008569166384404,0.0009040521345013,9.20312559173908e-05
0.0550000026123598,2.4755859584502105e-06,2.7640885278401583e-05,-2.9242707569210324e-05,3.574999959710112e-05,4.984375152616849e-05,3.895598773340225e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0105454454896971,0.0010860443580895,-0.0011721992923412,-0.0001836249939515,-0.0003371041857462,-0.0002454166824463
0.060000002849847,2.772656273464236e-06,4.3558593532111445e-05,-3.360729078849545e-05,5.626562436589211e-05,9.96044301331267e-05,4.1061716800072645e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0074438438750803,0.0016290665371343,-0.000390733097447,-0.0008569166384404,-0.0014403542481886,-0.0001840625118347
0.0650000030873343,3.069726588478261e-06,5.21627601557384e-05,-2.3023176481729024e-05,6.723437424227541e-05,9.320781535393508e-05,4.041380016417406e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,-0.0031016016146168,0.0005430221790447,-0.0011721992923412,-0.0007191978929768,-0.0015782605059939,0.0003374479383637
0.0700000033248215,3.1687500268162694e-06,3.957916646868398e-05,-1.9749739067265185e-05,7.75937491255263e-05,5.383125164826197e-05,3.968489394878816e-05,-0.0006865106734499356,-0.0011808537368977565,-0.004378191321088354,0.0024812812916934,-0.0010860443580895,-0.0035165978770237,-0.0005049687333666,-0.0012105104851798,0.0003221093957108
