,Time [s],WM_Position [m],WP_1 [m],WP_2 [m],WP_3 [m],WP_4 [m],WP_6 [m],Fx [N],Fy [N],Fz [N],Mx [Nm],My [Nm],Mz [Nm]
0,0.0,-3.4658203418302942e-06,-1.183072910748706e-05,-1.0693228887248551e-05,7.332812417359946e-05,6.272005400376202e-05,-7.2890621538590494e-06,-0.1120247512454534,-0.0698608549433561,-0.0400680421121296,-0.0262539377918824,0.0236155627625498,0.0294006878268669
1,0.0050000002374872,-3.76289065684432e-06,-2.355390613217878e-05,-2.6514843057157123e-05,7.210937418733465e-05,9.935521137549586e-05,-1.1500520287199834e-05,-0.1070654386903175,-0.1157262512866054,-0.1956269605082479,-0.0396757921077687,0.0096773959409233,0.0141529584906811
2,0.0100000004749745,-3.564843780168303e-06,-2.5167187374108835e-05,-2.542369725233584e-05,8.88671864984758e-05,9.2294013242622e-05,-1.6845832533363136e-05,-0.0891370843243294,-0.14202175157895,-0.2073815023055976,-0.0364730837388287,-0.006900229243381,-0.0096217084403042
3,0.0150000007124617,-3.267773465154278e-06,-3.3126041500963765e-05,-4.746484250972571e-05,7.373437416902107e-05,8.348828380633222e-05,-2.0328384451318016e-05,-0.058036271478561,-0.1125421054178718,-0.1556963142309791,-0.0184718127053633,-0.0145724376620114,-0.023363041926409
4,0.020000000949949,-3.069726588478261e-06,-4.2805728952544086e-05,-4.299114470995846e-05,7.921874910721272e-05,7.426718977399105e-05,-2.3001040574399667e-05,-0.0225210627503815,-0.0174135835269316,-0.073872146654619,0.0073242084147614,-0.0102031251134349,-0.0189434793772738
5,0.0250000011874362,-2.871679711802244e-06,-3.9041406054707295e-05,-4.659192586586869e-05,5.961718682812034e-05,7.79223982192434e-05,-2.3244009312861635e-05,0.0145308751615493,0.0987948969317017,-0.0085310417615119,0.0319606253553274,-0.0051239583902997,-0.0060175000669005
6,0.0300000014249235,-2.871679711802244e-06,-2.7855989443992257e-05,-3.993593645645888e-05,4.966406194029105e-05,7.376875225872936e-05,-2.332499889234896e-05,0.0277387294750565,0.1692308977147854,0.0567250006306494,0.0491986880469744,-0.0115092709612895,0.0024671875274293
7,0.0350000016624107,-2.9707031501402525e-06,-1.8176301992411936e-05,-4.375494677333336e-05,3.3617187121137704e-05,2.6001823712817892e-05,-2.308203015388699e-05,0.0335149795392749,0.1880381270905445,0.0434086046492689,0.0557698547866971,-0.0262886877922687,0.0059373333993426
8,0.040000001899898,-3.069726588478261e-06,-1.2368489521463744e-05,-5.095650908515381e-05,7.312499917588866e-06,-2.4838802843873964e-05,-2.0004426133368725e-05,0.0322704378587718,0.1654759601730393,-0.0504353547273899,0.0494349172162674,-0.0348555628875124,0.0084567292606857
9,0.0450000021373853,-2.9707031501402525e-06,-3.226562483860107e-06,-4.200911348561931e-05,-4.46874994963764e-06,-4.884687649564512e-05,-1.5873957579515263e-05,0.0318524586874582,0.1061351678466417,-0.1476837099752311,0.0301837503355727,-0.0311962295134958,0.009830125109288
10,0.0500000023748725,-3.069726588478261e-06,3.334114566655444e-06,-4.582812380249379e-05,-3.554687459939032e-05,-4.818229314196287e-05,-1.1338541128225188e-05,0.025724416952662,0.0176888960299925,-0.2154543982286827,0.0043641458818524,-0.0194496460495679,0.0067642084085355
11,0.0550000026123598,-3.069726588478261e-06,-8.604166623626952e-07,-2.269583274028264e-05,-3.899999956047395e-05,-5.142213699116383e-05,-7.532030892321018e-06,0.0070531667450813,-0.0618710006878609,-0.1576181267523452,-0.0156426251739094,-0.0056480625627932,-0.0021085000234415
12,0.060000002849847,-3.267773465154278e-06,-1.6563020750481883e-05,-3.949947813453037e-05,-7.119531169763604e-05,-8.598047138264064e-05,-5.426301825650626e-06,-0.0326289586960911,-0.1013497927934395,-0.0651281465574061,-0.0208738960654022,0.0026212500291421,-0.0146667084963928
13,0.0650000030873343,-3.3667969034922862e-06,-2.7855989443992257e-05,-2.9351822149692453e-05,-7.556249914841828e-05,-0.0001275169309877,-2.2677082256450376e-06,-0.070096896612647,-0.0959251260664632,0.0146519376628953,-0.0150682918341908,0.000210750002343,-0.02510839611248
14,0.0700000033248215,-3.564843780168303e-06,-2.5597395705290182e-05,-4.004505103694101e-05,-9.191406146413784e-05,-0.0001320028686251,3.3205727589802336e-06,-0.081084313401468,-0.0598167298316889,0.0470832296901221,-0.0085098542612763,-0.0037399167082458,-0.022601250251273
15,0.0750000035623088,-3.663867218506312e-06,-1.7100781164458567e-05,-4.146354058320867e-05,-9.110156147329462e-05,-0.0001064994824275,6.803124676935113e-06,-0.0865160009618557,-0.0306759170077111,0.0767549175200019,-0.0050137500557411,0.0028433750316116,-0.0025085416945557
16,0.0800000037997961,-3.564843780168303e-06,-4.409635394608813e-06,-3.218880124222778e-05,-8.480468654425977e-05,-7.551328356214526e-05,8.1799475282196e-06,-0.1071818345249448,-0.036068708734333,0.1202906680040178,-0.0070322709115157,0.0142821251587838,0.0210645210675215
17,0.0850000040372833,-3.4658203418302942e-06,3.334114566655444e-06,-3.928124897356611e-05,-8.297656156486255e-05,-7.177500219768262e-05,7.855989210270309e-06,-0.1401333557246221,-0.0668905215769996,0.1331545639803675,-0.0178442085317192,0.0160867918455142,0.0274510211385245
18,0.0900000042747706,-3.564843780168303e-06,3.5492187322461177e-06,-2.673307221812138e-05,-5.860156183956633e-05,-6.878437710611252e-05,6.155208041036531e-06,-0.1676424185304586,-0.102626730307636,0.0854456676166228,-0.031958729521973,0.0097510417750754,0.0133630209818988
